id,team_id,service_id,flag,round
1,0,0,X89JHT5DKSQCP3TFE822GY3YJ719EF1=,1
2,0,1,AXM0HJ9W14RQSBKI86GMXIP8NTG7A51=,1
3,0,2,2UPTS3P51Z1W66A7WFJ75KJ5P4JB27A=,1
4,0,3,RB3N1148MYUSCVPK4QDWPFPV5CZADAF=,1
5,1,0,VAQ99G3XMQXXR6CXHBL31XYJ8D0FB9B=,1
6,1,1,9DY97H13S4E9NE54F76PNZNSF6R03C7=,1
7,1,2,NM7Z8J1RXBTZ1S9CFUFVIGPPF2Q2E5F=,1
8,1,3,W2FFPIBQKUQRFI21QFGAOH8HUL12EBE=,1
9,2,0,K15CGPNEFD6A3VMGKGESZJHGI7NB944=,1
10,2,1,I717PZHG2C8VZCOY5XXRCRD58LBC2C0=,1
11,2,2,87XWM69YZDP2HHO6H24HQ5J72RZ64C2=,1
12,2,3,QWVZ9FUAQIUY305D9RYXEMNEXQT8272=,1
13,3,0,L2SHM3FTUMYYO601OGMFOV44YNQB55E=,1
14,3,1,1JS47HJ37LPAN5ZVZCCU2DBAERNCECA=,1
15,3,2,NS9F9SRTZM7EJBAMT6T2OM8EK6DDAE7=,1
16,3,3,2927XPGQWB7XH1LJP5RWEVGP3TL60BC=,1
17,4,0,6K8AO898NT70S60NF75QCMYRYNK6CBD=,1
18,4,1,F1U1FF6DTUAE2DB0TG43WUX1RPT8A2D=,1
19,4,2,35Q9F1AW0ELTEMVOHY3V0WS2P183682=,1
20,4,3,B47C21L7CYDUH2I7K7B9VNZN43IC8C1=,1
21,5,0,L1ZMWVFZ7NLNIENA17XTYDW5O5QE237=,1
22,5,1,0MS3FP0MZY1SNHOEUM78S7R5EBW2388=,1
23,5,2,3TVYC4BJG4M2JTQNTL3V0PRIVNH8EA0=,1
24,5,3,U4O98OK71KJNCG76E3U1MSJ45B117C6=,1
25,6,0,HA5QSNQ7FSWJ7T50NAFI4TR15TJ140C=,1
26,6,1,SW4LRDX9XMESKBBP9DSIBJRCLB2A45B=,1
27,6,2,W3I56QICRW2Q9EI1GJGNEMQJ6PB0C05=,1
28,6,3,TBF6F6F6G9L0RTVPTJNP73LKSZA49A4=,1
29,7,0,NNAXLRZVSD66KC35UVQBD94WTSN720E=,1
30,7,1,TWQPI0AI7LQWYCACKW8AGP6I7OW8A6F=,1
31,7,2,YK9OH1085MIVS9H9ZKZUNPFOD1IC024=,1
32,7,3,29QFSLKTJ8ZVU4FIXAG836JTBVW46DD=,1
33,8,0,PX2M0UPROPP5XCYCG6DHEHUVIXBC272=,1
34,8,1,SWYJBHGHC9U658B7CLK486PGRZYC13C=,1
35,8,2,A2JKWZ4R3ZLRX0C63VHGVE22K75D19D=,1
36,8,3,VQPHSIHFHK65MLNIXI9FBTD01DB43BB=,1
37,9,0,S5QZHXNXPRJQZ6740T83TY0PZ0LA161=,1
38,9,1,CYC6GKWO4A4E8PXQ5NEE6VMOEHY34C1=,1
39,9,2,0BTQBU44DUY4USGTOH4KTLTUGXBB255=,1
40,9,3,ET5LP8ZJY36N5XGJ5UXECXG4ZAIE96F=,1
41,0,0,A3ZAQ5J3JNQER9HVKCPX4N26T5L2225=,2
42,0,1,7LRLQSN35WP8C7LB4GL2N5LLZZY525B=,2
43,0,2,133ZP82MV75JSCHQOPJJZ3G8WFW53AD=,2
44,0,3,0EKVQEQOVIPEUK1RV2IQZUR4VFNBD69=,2
45,1,0,A6A3I853TMPT4RYVP0YUJU5SW9258FB=,2
46,1,1,PUB79YUPBEJ25EIF23Q294SRONKD75A=,2
47,1,2,VQ3TBEV4RQXQG5JAMJ38VPOKD5C5792=,2
48,1,3,CSYMQTUDUTXP8DXFRZEVC6UWEHUC7A2=,2
49,2,0,4I0JO8E8M4THNR8G03T25ISGG3G8F3F=,2
50,2,1,A5TLYGEC65MHF19LN6K9JIFD1KN6E7F=,2
51,2,2,5FNU0XP4MEIZU0RYAH8HWHW9MS6769D=,2
52,2,3,RKZIYRH555QI8AD47K0P0UQIQ0L9D06=,2
53,3,0,17FGRTOLDVPDIBK7T1VJBHEWGLVB6FA=,2
54,3,1,BK8G8TRHB086K9I79XFWW71Z39A4701=,2
55,3,2,I8MV38KDBZU2OEZUVLFDH1ABKXW1F6F=,2
56,3,3,TR6ZZFX7T76B4Y1KH4YKN4WH97D1A36=,2
57,4,0,8CXMQOBFYGQ21YMKZYN5F79ACCKFA4F=,2
58,4,1,TM5NXGWSL83B2APKNCCJCO67O3P4306=,2
59,4,2,21UI5B38E25M09D0NC9FKEOUZEO8833=,2
60,4,3,UG8AC81REMBL193765IRJQUI2PME97F=,2
61,5,0,3Y34T9G0QK5G5KLXFMXS01JMTT85872=,2
62,5,1,RJ1SP9GWT1BEGBV4PSD2U6TA37S54FA=,2
63,5,2,2DV91VKQ995ZDRM6T8XBJEU1DUI9941=,2
64,5,3,1PWF4DH2ICEEGSBFQGLLSJLIEP28E23=,2
65,6,0,TUGRD7NZ8JY5YGDYUPAYR7GN5KMD3B4=,2
66,6,1,Y8XA94WJYFLCULKJ3TITXVMX3I8C537=,2
67,6,2,JCRI5BXLX3RXXL12A11Y06GY09W4DA5=,2
68,6,3,9KEAX71X938NURPOXNM3BUUIRA011D9=,2
69,7,0,8SCQU111GK94FUMS8GXWQK9PH5670DA=,2
70,7,1,ZX3X3WCJOUPPCAU69P28M4RLWY1E926=,2
71,7,2,WTZTU9M72TDFSLKP5EAKF6NF3NM743F=,2
72,7,3,877AP9LGOEK8XCQD0WRETBPQ53OA676=,2
73,8,0,C946BK5MOKKHGK9F6WSE4SYENK29D5E=,2
74,8,1,SE03GEZ8QWJFKOKNPVT7NH52ZJPA2E3=,2
75,8,2,E17FPIG2876KBR74YE0M0XZF5SKEA80=,2
76,8,3,S0NEZLQ9S9BX5ESRWJWI9PAQPQA2966=,2
77,9,0,DO7F23QMDNSI6KWON8U4SYM03TU621B=,2
78,9,1,9AOPPQKGP4LOPPOLXORKDDOO5J85DAB=,2
79,9,2,5UJMM087DRU3TRKNB8KC0ESER5CA626=,2
80,9,3,1DJEJJSSN23694VPCQKP0JLGF2A01DC=,2
81,0,0,OTW17S86O6QIWJOIAYLM26NXWSV8163=,3
82,0,1,BEP8OQ1QKDTS4BO08Z0SXQVU80DD1AA=,3
83,0,2,C4AVKHX2DTYXGMJAU5F5INXXW4JF2A7=,3
84,0,3,D4CNGDFGYUPLYBQOXX3H2UJI0K66735=,3
85,1,0,MCU4NOXBJ5DPJHX0VFTR89CM35IB8CB=,3
86,1,1,CALC3107A3BRXGIQH2PNJR7F1UHB31B=,3
87,1,2,A5MDG0B2A9W2V7B9J3U7XMTNHG55CC8=,3
88,1,3,IKW9F3XJJGL7DTJYCJHILZPS5930F04=,3
89,2,0,2UDZDBYMNN9ZT7VMVOO0P0DRLB81CBB=,3
90,2,1,YTRNPRPQKD744NZFZD1Z9GI5JAO6EF0=,3
91,2,2,GNPF6TTRNI2PAVH7APV9UZYMEO8D244=,3
92,2,3,PSYHVSI2UDM8FE33C47GG4438DMC269=,3
93,3,0,47JXGAN473V2DLCP1F9GXUMO8MQ45CA=,3
94,3,1,09LH4WLGBY3SXWF3VRE1N2LXSO5A234=,3
95,3,2,V9YCNW9NE37F58OUMT01OWAP7PE0CE3=,3
96,3,3,V6YVXN8QVDZK1G57CGY6U86II81AC56=,3
97,4,0,C2SOPROPR4P747R7EO7QWNXXOOW2FF4=,3
98,4,1,TVAQJCIACHVLZKYN66EFHI1241YF8A9=,3
99,4,2,W756VAHD49MMSG856XX353J4NJ5C754=,3
100,4,3,VRWBAY9QNQNWAMWU0T3NR5A0H3204E5=,3
101,5,0,5I0CZIXRLLC39BVPF50RK10XGU343C3=,3
102,5,1,L5TOH7FX4DO8UKHBTRF6Z7TYHS65BB8=,3
103,5,2,SG0TRBVK8WFY1CIY0WVTESTFP9BC8DF=,3
104,5,3,WK2JCRM8MD0JRMB79U3LRMV2DVL07FA=,3
105,6,0,LZGHM4EXSIDEKJ7MHYEATILS3922890=,3
106,6,1,MHAJUMOLVIMO0MCXZRTD9ZNVWOR35B7=,3
107,6,2,A9BNNTF8EZIDD6TMDPX6ZCZTNBL243D=,3
108,6,3,MC5A2DFZF9MA9T5XQEWVSKRG94EF889=,3
109,7,0,0VWONA4WP09PG423T7ADSJX901V6C2F=,3
110,7,1,ICDMA49Y0LWDGQ0U7UX9FXPJKNFD1E0=,3
111,7,2,3TEJ7RI37M3ZXNDZUS7YVM2P0M9DDEE=,3
112,7,3,DUS6ZML1D4MBZSU8KD92UU482T6895D=,3
113,8,0,1VH3YNVHZDVTW62TAT5Y841HMEM8053=,3
114,8,1,CUQ9FJGQYEBC3YOGYWF7H7RBYZ86050=,3
115,8,2,K1FCNZN352H748O95EWGTBOURF888CB=,3
116,8,3,2QYCEWKNU82OZWBFFLDDE05HL6MFF4A=,3
117,9,0,FDGC100UM5DLJNX68KRCGO0N876CBAF=,3
118,9,1,GGUP3NAZ6D0OOY5VVQQDYCQJJYM8737=,3
119,9,2,T3IB16AJ1GM572COEK7BR5YLMNL4C1B=,3
120,9,3,ID1CNPR7JNEKVAGB27U7K5LA9PBD29B=,3
121,0,0,HQ2BY9S1LWVI6F3O2E9ZGZR0PC55F45=,4
122,0,1,ZRHLN39JULBZXWKGJW1K212EKM019C2=,4
123,0,2,JKI1TCVTCURCKAXJOY7QV2XBYCG90C8=,4
124,0,3,3FOE0AQ1KNE11ML4NF5Y0E0TN3QECBC=,4
125,1,0,JP57XL8Z3NJ6JL5E8BF82KSLD862392=,4
126,1,1,VPP8MIUTFHU4V418ZKJP57ZLL22BE0C=,4
127,1,2,90OD07FQKXOLU9TNAGO5XEOXD6YF4E1=,4
128,1,3,EYVX9IZ4IKADELH6DKA1VUKM6RA59FC=,4
129,2,0,D1V6FQP130H0PL23ZQH72YSJ1VP464C=,4
130,2,1,U49K2J75CQ115N3CMEYPRTXGHCFF100=,4
131,2,2,U9HO05WEVKOR3EOI70UBBF0VSV391CD=,4
132,2,3,O8FIXRSE2I83IY3YXTS0TVD389PA063=,4
133,3,0,Y6FQ0ICMDQ4LFAO7NSIMJLYNWAEE021=,4
134,3,1,A5GLCFFJGNRXNTEZSY2K26FVYTC4336=,4
135,3,2,0T5RG2ICEIXADHVJ76R5IJAO395C06B=,4
136,3,3,BYRJ35X328PF9CCNLVEZ00YQ4GC1804=,4
137,4,0,RDNI6U6AIJUW7PEMNXXJS71W5W944BC=,4
138,4,1,HHE02V9QOZGA2J8BPXQRC2PZ9Y53598=,4
139,4,2,VD21ON4TNKUCOKG6KRWM4TP4THT7D6E=,4
140,4,3,IRSJ99AUAZ0SNKXAU8I2TS0S5ZYC8C6=,4
141,5,0,EGBH2GG6LK8PYBPQS8T6N7TKKM64977=,4
142,5,1,7WW4UIQWH5765UO8HXYN74Q4U1T9654=,4
143,5,2,IYIQCC4SL8JPDWXZV2G7X99RXN282B4=,4
144,5,3,V5G83I8J510BHW4OJG0DTQTOXLH01D0=,4
145,6,0,09UQ8NGA2BGMHHUT45G07Y81A505C40=,4
146,6,1,NYG6NU7EGN79MI0QG4LJDJYU75YBEBE=,4
147,6,2,U1LF7SD2U193PZCJQULLN7QQQR66342=,4
148,6,3,LUAWNZOBM7JCI8GYD4YWIT9G2F89A09=,4
149,7,0,RLK28FRNST9FHVU3X37FM72AWDR03EA=,4
150,7,1,HJFQONNJZMWBKG2XGRM6HBQ5DQR2B0C=,4
151,7,2,ONL8YZP376FU4PJHQY06KMZBSFFED08=,4
152,7,3,L7NJROZNXVNH3LLZZHO7761C5UT2049=,4
153,8,0,O62NQYUVV0RKPRPMPGE5L4M8NK1B4A5=,4
154,8,1,KB61DJG12C8KC0PVBL49DQ5KSIW799D=,4
155,8,2,JU649GPIU4B7J2R1HQR8XEENQ3DA626=,4
156,8,3,NMHXCGCPZGARGWL3I9OHXLZJ09I646D=,4
