round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
1,SeaOfHackerz,0,0,,
1,ArcaneLink,0,0,,
1,MaScroll-1,0,0,,
1,MaScroll-2,0,0,,
1,NorthernFiles,0,0,,
1,UberPendragon,0,0,,
2,SeaOfHackerz,0,0,,
2,ArcaneLink,0,0,,
2,MaScroll-1,0,0,,
2,MaScroll-2,0,0,,
2,NorthernFiles,0,0,,
2,UberPendragon,0,0,,
3,SeaOfHackerz,0,0,,
3,ArcaneLink,0,0,,
3,MaScroll-1,0,0,,
3,MaScroll-2,0,0,,
3,NorthernFiles,0,0,,
3,UberPendragon,0,0,,
4,SeaOfHackerz,0,0,,
4,ArcaneLink,0,0,,
4,MaScroll-1,0,0,,
4,MaScroll-2,0,0,,
4,NorthernFiles,0,0,,
4,UberPendragon,0,0,,
5,SeaOfHackerz,0,0,,
5,ArcaneLink,0,0,,
5,MaScroll-1,0,0,,
5,MaScroll-2,0,0,,
5,NorthernFiles,0,0,,
5,UberPendragon,0,0,,
6,SeaOfHackerz,0,0,,
6,ArcaneLink,0,0,,
6,MaScroll-1,0,0,,
6,MaScroll-2,0,0,,
6,NorthernFiles,0,0,,
6,UberPendragon,0,0,,
7,SeaOfHackerz,0,0,,
7,ArcaneLink,0,0,,
7,MaScroll-1,0,0,,
7,MaScroll-2,0,0,,
7,NorthernFiles,0,0,,
7,UberPendragon,0,0,,
8,SeaOfHackerz,0,0,,
8,ArcaneLink,0,0,,
8,MaScroll-1,0,0,,
8,MaScroll-2,0,0,,
8,NorthernFiles,0,0,,
8,UberPendragon,0,0,,
9,SeaOfHackerz,0,0,,
9,ArcaneLink,0,0,,
9,MaScroll-1,0,0,,
9,MaScroll-2,0,0,,
9,NorthernFiles,0,0,,
9,UberPendragon,0,0,,
10,SeaOfHackerz,0,0,,
10,ArcaneLink,0,0,,
10,MaScroll-1,0,0,,
10,MaScroll-2,0,0,,
10,NorthernFiles,0,0,,
10,UberPendragon,0,0,,
11,SeaOfHackerz,0,0,,
11,ArcaneLink,0,0,,
11,MaScroll-1,0,0,,
11,MaScroll-2,0,0,,
11,NorthernFiles,0,0,,
11,UberPendragon,0,0,,
12,SeaOfHackerz,0,0,,
12,ArcaneLink,0,0,,
12,MaScroll-1,0,0,,
12,MaScroll-2,0,0,,
12,NorthernFiles,0,0,,
12,UberPendragon,0,0,,
13,SeaOfHackerz,0,0,,
13,ArcaneLink,0,0,,
13,MaScroll-1,0,0,,
13,MaScroll-2,0,0,,
13,NorthernFiles,0,0,,
13,UberPendragon,0,0,,
14,SeaOfHackerz,0,0,,
14,ArcaneLink,0,0,,
14,MaScroll-1,0,0,,
14,MaScroll-2,0,0,,
14,NorthernFiles,0,0,,
14,UberPendragon,0,0,,
15,SeaOfHackerz,1,1,7,2023-08-03T16:38:51.493Z
15,ArcaneLink,0,0,,
15,MaScroll-1,0,0,,
15,MaScroll-2,0,0,,
15,NorthernFiles,0,0,,
15,UberPendragon,0,0,,
16,SeaOfHackerz,0,0,7,2023-08-03T16:38:51.493Z
16,ArcaneLink,0,0,,
16,MaScroll-1,0,0,,
16,MaScroll-2,0,0,,
16,NorthernFiles,0,0,,
16,UberPendragon,0,0,,
17,SeaOfHackerz,0,0,7,2023-08-03T16:38:51.493Z
17,ArcaneLink,0,0,,
17,MaScroll-1,0,0,,
17,MaScroll-2,0,0,,
17,NorthernFiles,0,0,,
17,UberPendragon,0,0,,
18,SeaOfHackerz,0,0,7,2023-08-03T16:38:51.493Z
18,ArcaneLink,0,0,,
18,MaScroll-1,0,0,,
18,MaScroll-2,0,0,,
18,NorthernFiles,0,0,,
18,UberPendragon,0,0,,
19,SeaOfHackerz,1,5,7,2023-08-03T16:38:51.493Z
19,ArcaneLink,0,0,,
19,MaScroll-1,0,0,,
19,MaScroll-2,0,0,,
19,NorthernFiles,0,0,,
19,UberPendragon,0,0,,
20,SeaOfHackerz,0,0,7,2023-08-03T16:38:51.493Z
20,ArcaneLink,0,0,,
20,MaScroll-1,0,0,,
20,MaScroll-2,0,0,,
20,NorthernFiles,0,0,,
20,UberPendragon,0,0,,
21,SeaOfHackerz,0,0,7,2023-08-03T16:38:51.493Z
21,ArcaneLink,0,0,,
21,MaScroll-1,0,0,,
21,MaScroll-2,0,0,,
21,NorthernFiles,0,0,,
21,UberPendragon,0,0,,
22,SeaOfHackerz,1,1,7,2023-08-03T16:38:51.493Z
22,ArcaneLink,0,0,,
22,MaScroll-1,0,0,,
22,MaScroll-2,0,0,,
22,NorthernFiles,0,0,,
22,UberPendragon,0,0,,
23,SeaOfHackerz,0,0,7,2023-08-03T16:38:51.493Z
23,ArcaneLink,0,0,,
23,MaScroll-1,0,0,,
23,MaScroll-2,0,0,,
23,NorthernFiles,0,0,,
23,UberPendragon,0,0,,
24,SeaOfHackerz,1,8,7,2023-08-03T16:38:51.493Z
24,ArcaneLink,0,0,,
24,MaScroll-1,0,0,,
24,MaScroll-2,0,0,,
24,NorthernFiles,0,0,,
24,UberPendragon,0,0,,
25,SeaOfHackerz,2,8,7,2023-08-03T16:38:51.493Z
25,ArcaneLink,0,0,,
25,MaScroll-1,0,0,,
25,MaScroll-2,0,0,,
25,NorthernFiles,0,0,,
25,UberPendragon,0,0,,
26,SeaOfHackerz,1,6,7,2023-08-03T16:38:51.493Z
26,ArcaneLink,0,0,,
26,MaScroll-1,0,0,,
26,MaScroll-2,0,0,,
26,NorthernFiles,0,0,,
26,UberPendragon,0,0,,
27,SeaOfHackerz,1,7,7,2023-08-03T16:38:51.493Z
27,ArcaneLink,0,0,,
27,MaScroll-1,0,0,,
27,MaScroll-2,0,0,,
27,NorthernFiles,0,0,,
27,UberPendragon,0,0,,
28,SeaOfHackerz,1,7,7,2023-08-03T16:38:51.493Z
28,ArcaneLink,0,0,,
28,MaScroll-1,0,0,,
28,MaScroll-2,0,0,,
28,NorthernFiles,0,0,,
28,UberPendragon,0,0,,
29,SeaOfHackerz,2,7,7,2023-08-03T16:38:51.493Z
29,ArcaneLink,0,0,,
29,MaScroll-1,0,0,,
29,MaScroll-2,0,0,,
29,NorthernFiles,0,0,,
29,UberPendragon,0,0,,
30,SeaOfHackerz,2,7,7,2023-08-03T16:38:51.493Z
30,ArcaneLink,0,0,,
30,MaScroll-1,0,0,,
30,MaScroll-2,0,0,,
30,NorthernFiles,0,0,,
30,UberPendragon,0,0,,
31,SeaOfHackerz,2,7,7,2023-08-03T16:38:51.493Z
31,ArcaneLink,0,0,,
31,MaScroll-1,0,0,,
31,MaScroll-2,0,0,,
31,NorthernFiles,0,0,,
31,UberPendragon,0,0,,
32,SeaOfHackerz,2,7,7,2023-08-03T16:38:51.493Z
32,ArcaneLink,0,0,,
32,MaScroll-1,0,0,,
32,MaScroll-2,0,0,,
32,NorthernFiles,0,0,,
32,UberPendragon,0,0,,
33,SeaOfHackerz,2,7,7,2023-08-03T16:38:51.493Z
33,ArcaneLink,0,0,,
33,MaScroll-1,0,0,,
33,MaScroll-2,0,0,,
33,NorthernFiles,0,0,,
33,UberPendragon,0,0,,
34,SeaOfHackerz,3,7,7,2023-08-03T16:38:51.493Z
34,ArcaneLink,0,0,,
34,MaScroll-1,0,0,,
34,MaScroll-2,0,0,,
34,NorthernFiles,0,0,,
34,UberPendragon,0,0,,
35,SeaOfHackerz,3,7,7,2023-08-03T16:38:51.493Z
35,ArcaneLink,0,0,,
35,MaScroll-1,0,0,,
35,MaScroll-2,0,0,,
35,NorthernFiles,0,0,,
35,UberPendragon,0,0,,
36,SeaOfHackerz,4,7,7,2023-08-03T16:38:51.493Z
36,ArcaneLink,0,0,,
36,MaScroll-1,0,0,,
36,MaScroll-2,0,0,,
36,NorthernFiles,0,0,,
36,UberPendragon,0,0,,
37,SeaOfHackerz,4,7,7,2023-08-03T16:38:51.493Z
37,ArcaneLink,0,0,,
37,MaScroll-1,0,0,,
37,MaScroll-2,0,0,,
37,NorthernFiles,0,0,,
37,UberPendragon,0,0,,
38,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
38,ArcaneLink,0,0,,
38,MaScroll-1,0,0,,
38,MaScroll-2,0,0,,
38,NorthernFiles,0,0,,
38,UberPendragon,0,0,,
39,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
39,ArcaneLink,0,0,,
39,MaScroll-1,0,0,,
39,MaScroll-2,0,0,,
39,NorthernFiles,0,0,,
39,UberPendragon,0,0,,
40,SeaOfHackerz,4,6,7,2023-08-03T16:38:51.493Z
40,ArcaneLink,0,0,,
40,MaScroll-1,0,0,,
40,MaScroll-2,0,0,,
40,NorthernFiles,0,0,,
40,UberPendragon,0,0,,
41,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
41,ArcaneLink,0,0,,
41,MaScroll-1,0,0,,
41,MaScroll-2,0,0,,
41,NorthernFiles,0,0,,
41,UberPendragon,0,0,,
42,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
42,ArcaneLink,0,0,,
42,MaScroll-1,0,0,,
42,MaScroll-2,0,0,,
