round,id,score,position,services
52,4,31724.96254317288,1,"[{""lost"":0,""score"":7602.131570543254,""stolen"":207,""shortname"":""SeaOfHackerz"",""totalScore"":6724.962543172878,""totalChecks"":52,""successfulChecks"":46},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,9,31355.5415746938,2,"[{""lost"":31,""score"":6480.160036942701,""stolen"":146,""shortname"":""SeaOfHackerz"",""totalScore"":6355.541574693802,""totalChecks"":52,""successfulChecks"":51},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,6,31352.008096984257,3,"[{""lost"":6,""score"":6881.342105066277,""stolen"":152,""shortname"":""SeaOfHackerz"",""totalScore"":6352.008096984257,""totalChecks"":52,""successfulChecks"":48},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,8,30090.633940360993,4,"[{""lost"":6,""score"":6802.403508484502,""stolen"":146,""shortname"":""SeaOfHackerz"",""totalScore"":6148.326248053299,""totalChecks"":52,""successfulChecks"":47},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4711.538461538462,""totalChecks"":52,""successfulChecks"":49},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4230.7692307692305,""totalChecks"":52,""successfulChecks"":44},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,5,28793.43037437155,5,"[{""lost"":99,""score"":4811.17998700782,""stolen"":80,""shortname"":""SeaOfHackerz"",""totalScore"":3793.4303743715504,""totalChecks"":52,""successfulChecks"":41},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,7,28706.20688290141,6,"[{""lost"":60,""score"":4189.625171975509,""stolen"":1,""shortname"":""SeaOfHackerz"",""totalScore"":3706.206882901412,""totalChecks"":52,""successfulChecks"":46},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,3,28322.9810824666,7,"[{""lost"":132,""score"":3322.9810824665965,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":3322.9810824665965,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,2,28315.786251227895,8,"[{""lost"":132,""score"":3315.786251227893,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":3315.786251227893,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,1,28310.6478829353,9,"[{""lost"":132,""score"":3310.6478829352977,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":3310.6478829352977,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
52,0,28283.742403350152,10,"[{""lost"":134,""score"":3283.742403350152,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":3283.742403350152,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":52,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
